lat,lon
16.28988287,101.4952495
16.28957066,101.4950657
16.28861977,101.4944924
16.28764316,101.4933983
16.28688992,101.4920983
16.28637164,101.4921277
16.28572449,101.4927836
16.28535807,101.4926722
16.28497098,101.4922013
16.28490631,101.4919077
16.28494473,101.4915961
16.28503968,101.4912016
16.28540955,101.4907176
16.2856424,101.4899555
16.2852618,101.4894504
16.28519909,101.4888469
16.2843348,101.4882305
16.28392931,101.4881614
16.28330842,101.4880815
16.28310852,101.4884939
16.28288056,101.4885668
16.28268238,101.4881218
16.28252658,101.4881986
16.28244878,101.4885861
16.28216478,101.4889914
16.28186313,101.4891845
16.28110904,101.4890519
16.28104229,101.4887583
16.28102906,101.4881172
16.2813622,101.4878508
16.28159224,101.4874948
16.28200077,101.4870872
16.28233669,101.4868986
16.28247585,101.4865213
16.28285728,101.4861247
16.28295,101.4857791
16.28323853,101.4855713
16.2839015,101.484905
16.28428237,101.4841631
16.28416501,101.4836917
16.2843054,101.4833636
16.28400762,101.4831607
16.28369265,101.483298
16.28351533,101.4833279
16.2834528,101.4830835
16.28332774,101.4830422
16.28311198,101.482709
16.28335061,101.4825618
16.28336393,101.4823567
16.28270323,101.4820004
16.28226681,101.4823241
16.28189052,101.4823702
16.28168703,101.4822179
16.28163818,101.481994
16.28116252,101.4817557
16.28017133,101.4824516
16.27924738,101.4823759
16.27867192,101.4825423
16.27784959,101.4811789
16.27717247,101.4798154
16.27590535,101.4783289
16.27576741,101.4781577
16.27580372,101.4775025
16.27619579,101.4769787
16.27584732,101.4765664
16.27524456,101.4766571
16.27474717,101.4768463
16.27470177,101.477667
16.27451116,101.4779733
16.27382851,101.4777162
16.2723109,101.4783894
16.27141773,101.4793766
16.27069882,101.4807269
16.2703139,101.4814267
16.26955511,101.482185
16.26917387,101.4832459
16.26883441,101.4833045
16.26861113,101.4830908
16.26813551,101.4828449
16.26781141,101.4818774
16.26745165,101.4815027
16.26709734,101.4814486
16.26644065,101.4809584
16.2659659,101.4809128
16.26516552,101.4813881
16.26485017,101.4813575
16.264372,101.4806001
16.26406828,101.4804121
16.26369545,101.4806088
16.26348578,101.4810221
16.26455554,101.48284
16.26479968,101.4830706
16.26480545,101.4833918
16.26467316,101.4835387
16.2644013,101.4834918
16.2637573,101.483772
16.26390048,101.4846269
16.26429771,101.4852723
16.2642928,101.48548
16.26410182,101.4856392
16.26382405,101.4858964
16.26351603,101.4855772
16.2634406,101.4852096
16.26321997,101.4850074
16.26240622,101.4848658
16.26221442,101.4851696
16.26216217,101.4855703
16.26196012,101.4856281
16.26152548,101.4854435
16.26130746,101.4852441
16.26131336,101.4848695
16.2610356,101.4847391
16.26044316,101.4850009
16.25992049,101.4855293
16.25887653,101.4850988
16.25835455,101.4843142
16.25809356,101.4833283
16.25789329,101.4829686
16.2579676,101.4823405
16.25785243,101.4821108
16.25764422,101.4819295
16.25724993,101.4817846
16.25707605,101.4812518
16.25678586,101.4810824
16.2566576,101.4814223
16.25544782,101.4814305
16.25511185,101.4819241
16.25446519,101.4816996
16.25327483,101.4815965
16.25293695,101.4811809
16.25275441,101.4798348
16.25175048,101.479981
16.25138445,101.4798923
16.25043587,101.4801676
16.25009218,101.4806981
16.24947371,101.4801744
16.24821297,101.4802363
16.24750493,101.4811976
16.24685963,101.4810715
16.2469642,101.4805634
16.24620089,101.4803094
16.24599401,101.4808499
16.24520456,101.4807026
16.24459222,101.4812546
16.24471779,101.4822516
16.24534826,101.4823181
16.24534081,101.4825371
16.24506151,101.482756
16.24534535,101.4834401
16.2449047,101.4836608
16.24449019,101.4836093
16.24412758,101.4833409
16.24330545,101.4842786
16.24408865,101.4852835
16.24448025,101.4857051
16.24463882,101.4864907
16.24456216,101.4865729
16.24433268,101.4864605
16.24421655,101.486511
16.24408345,101.4867207
16.2441456,101.487116
16.24387674,101.487259
16.24356404,101.48764
16.24316644,101.4878619
16.24291316,101.4877521
16.2427278,101.4875363
16.24264786,101.4873399
16.24265281,101.4870198
16.24215688,101.4870356
16.24121791,101.4861731
16.24073737,101.4859294
16.24047757,101.4860218
16.24006751,101.4865278
16.24005414,101.4866366
16.24024451,101.4866924
16.2404264,101.4865448
16.24041547,101.4867805
16.24004495,101.4869956
16.23987667,101.4872092
16.23992837,101.4875194
16.23827254,101.4878126
16.23846238,101.4873327
16.2379212,101.4869121
16.23709548,101.4876535
16.23719149,101.4880844
16.23725107,101.4886491
16.23662828,101.4896476
16.23624487,101.4896523
16.23586811,101.4890282
16.23546823,101.4889824
16.23571601,101.4885632
16.23579031,101.4881439
16.23556969,101.4879054
16.23587574,101.4873042
16.23578589,101.4868712
16.23348569,101.4861005
16.23265943,101.4886665
16.23143671,101.488528
16.23091787,101.4868446
16.23132927,101.486545
