station,Q,Q/day,depth,LV,LV+/-,Qexp,Latitude,Longitude,L,A,G,date,time,zeroGate,gm,depth_ecp,name_1,Qmax_exp,lat_long
Kh.1,0.00,0.00,5.88,159.48,-5.72,0,17.88739967,102.7520676,11.60,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,153.6000061,-1.6,5.54,Kh.1_1,null,"17.8873996734619,102.752067565917"
Kh.100,0.00,0.00,7.64,149.54,-6.36,0,18.39961052,103.6082611,14.00,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,141.8999939,-2,7.46,Kh.100_1,null,"18.3996105194091,103.608261108398"
Kh.16B,0.00,0.00,8.30,143.30,-4.70,0,17.43763924,104.7576218,13.00,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,135,-2,8.25,Kh.16B_1,null,"17.4376392364501,104.757621765136"
Kh.104,0.00,0.00,9.05,162.15,-3.95,0,17.5574894,104.7334976,13.00,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,153.1000061,-2,9,Kh.104_1,90,"17.5574893951416,104.733497619628"
M.43A,9.75,0.84,1.33,373.03,-2.17,31.4,14.51204014,101.3803482,3.50,▼,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,371.7000122,-0.5,2.04,M.43A_1,100,"14.5120401382446,101.380348205566"
M.199,11.10,0.96,2.07,330.87,-2.93,6,14.75868988,105.4091034,5.00,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,328.7999878,-1,1.9,M.199_1,150,"14.758689880371,105.409103393554"
M.89,20.75,1.79,2.89,293.79,-3.61,5.8,14.69785023,101.4151535,6.50,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,290.8999939,-0.8,2.24,M.89_1,125,"14.6978502273559,101.415153503417"
M.183B,0.74,0.06,0.47,295.37,-5.53,0.34,14.72854042,101.5642166,6.00,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,294.8999939,-1,0.27,M.183B_1,50,"14.7285404205322,101.564216613769"
M.177,5.20,0.45,2.57,239.27,-4.03,3,14.85019016,101.6167908,6.60,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,236.6999969,-1,2.3,M.177_1,110,"14.8501901626586,101.616790771484"
M.192,0.39,0.03,2.77,202.37,-1.53,0.4,14.93225002,101.8678818,4.30,▼,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,199.6000061,-0.5,2.8,M.192_1,35,"14.9322500228881,101.867881774902"
M.191,3.04,0.26,1.42,193.22,-2.08,3.18,14.93280983,101.951889,3.50,▼,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,191.8000031,-0.5,1.44,M.191_1,35,"14.9328098297119,101.951889038085"
M.164,2.54,0.22,2.53,176.63,-0.97,2,14.98456955,102.0929413,3.50,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,174.1000061,-0.3,2.5,M.164_1,36,"14.9845695495605,102.092941284179"
M.145,3.50,0.30,3.76,386.76,-3.64,1.86,14.49405956,101.6849136,7.40,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,383,-1,3.59,M.145_1,150,"14.4940595626831,101.684913635253"
M.171,1.55,0.13,0.71,272.91,-4.09,1.8,14.50133991,101.7684784,4.80,▼,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,272.2000122,-1,0.76,M.171_1,765,"14.5013399124145,101.768478393554"
M.180,***,-,3.31,222.51,-2.19,***,14.63599014,101.884697,5.50,▼,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,219.1999969,-0.5,3.33,M.180_1,67,"14.6359901428222,101.884696960449"
M.173,6.60,0.57,1.91,176.71,-5.69,7.1,14.74503994,102.2117767,7.60,▼,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,174.8000031,-1,1.96,M.173_1,290,"14.7450399398803,102.211776733398"
M.2A,3.22,0.28,1.62,162.62,-5.08,3.54,14.96802998,102.2378311,6.70,▼,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,161,-1.4,1.64,M.2A_1,200,"14.9680299758911,102.237831115722"
