dam_name,lavel,r_percen,percen_lv,lavel_l,T_water,F_water,N,S,cnanel,percen_cha,outflow,outflow/day,Latitude,Longitude,date,time
ชนบท,16.62,1.04,103.88%,162.30,162.34,162.34,▲,ระดับสูงกว่าตลิ่ง,-0.62,-3.88%,24.28,281.02,16.070959,102.509952,9/10/2023,6.00น.
มหาสารคาม,27.2,1.13,113.33%,146.99,147.44,146.9,▲,ระดับสูงกว่าตลิ่ง,-3.20,-13.33%,42.32,489.81,16.36834,102.947193,9/10/2023,6.00น.
วังยาง,60.28,1.79,179.46%,138.87,138.91,138.91,▲,ระดับสูงกว่าตลิ่ง,-26.69,-79.46%,57.81,669.10,16.199612,103.4731222,9/10/2023,6.00น.
ร้อยเอ็ด,39.88,2.49,249.25%,133.85,133.98,133.97,▲,ระดับสูงกว่าตลิ่ง,-23.88,-149.25%,94.63,1095.25,16.172,103.7894,9/10/2023,6.00น.
ยโสธร,24.9,1.28,127.95%,126.44,126.4,126.4,▼,ระดับสูงกว่าตลิ่ง,-5.44,-27.95%,108,1250.00,15.75029228,104.1130663,9/10/2023,6.00น.
ธาตุน้อย,104.45,1.86,186.19%,118.30,118.4,118.4,▲,ระดับสูงกว่าตลิ่ง,-48.35,-86.19%,116.36,1346.76,15.31041681,104.4563396,9/10/2023,6.00น.
